appid,time,count_4xx,cout_404
200574,2018-11-25 13:00:00,86,0
200574,2018-11-25 14:00:00,99,0
200574,2018-11-25 15:00:00,96,0
200574,2018-11-25 17:00:00,100,0
200574,2018-11-25 18:00:00,76,0
200574,2018-11-25 19:00:00,100,0
200574,2018-11-25 20:00:00,99,0
200574,2018-11-25 21:00:00,144,0
200574,2018-11-25 22:00:00,97,0
200574,2018-11-25 23:00:00,67,0
200576,2018-11-25 01:00:00,1,0
200576,2018-11-25 08:00:00,1,0
200576,2018-11-25 09:00:00,1,0
200576,2018-11-25 21:00:00,53,0
200580,2018-11-25 00:00:00,126469,0
200580,2018-11-25 01:00:00,80378,0
200580,2018-11-25 02:00:00,56456,0
200580,2018-11-25 03:00:00,48427,0
200580,2018-11-25 04:00:00,48755,0
200580,2018-11-25 05:00:00,65899,0
200580,2018-11-25 06:00:00,90833,0
200580,2018-11-25 07:00:00,141114,0
200580,2018-11-25 08:00:00,187103,0
200580,2018-11-25 09:00:00,211815,0
200580,2018-11-25 10:00:00,226157,0
200580,2018-11-25 11:00:00,222885,0
200580,2018-11-25 12:00:00,215859,0
200580,2018-11-25 13:00:00,222185,0
200580,2018-11-25 14:00:00,222367,0
200580,2018-11-25 15:00:00,240597,0
200580,2018-11-25 17:00:00,233535,0
200580,2018-11-25 18:00:00,238811,0
200580,2018-11-25 19:00:00,267842,0
200580,2018-11-25 20:00:00,289624,0
200580,2018-11-25 21:00:00,292286,0
200580,2018-11-25 22:00:00,258603,0
200580,2018-11-25 23:00:00,178167,0
200586,2018-11-25 11:00:00,1,0
200602,2018-11-25 00:00:00,71,0
200602,2018-11-25 01:00:00,50,0
200602,2018-11-25 02:00:00,13,0
200602,2018-11-25 03:00:00,16,0
200602,2018-11-25 04:00:00,17,0
200602,2018-11-25 05:00:00,5,0
200602,2018-11-25 06:00:00,12,0
