domain,time,count_4xx,cout_404
yx.sogou.com,2018-11-25 10:00:00,2787,29
yx.sogou.com,2018-11-25 11:00:00,2679,34
yx.sogou.com,2018-11-25 12:00:00,2208,19
yx.sogou.com,2018-11-25 13:00:00,3258,41
yx.sogou.com,2018-11-25 15:00:00,2949,30
yx.sogou.com,2018-11-25 20:00:00,2293,11
yx.sogou.com,2018-11-25 21:00:00,1362,22
yx.sogou.com,2018-11-25 23:00:00,1210,7
yx.sogou.com,2018-11-25 00:00:00,1382,2
yx.sogou.com,2018-11-25 01:00:00,464,4
yx.sogou.com,2018-11-25 03:00:00,125,6
yx.sogou.com,2018-11-25 04:00:00,90,2
yx.sogou.com,2018-11-25 05:00:00,178,4
yx.sogou.com,2018-11-25 14:00:00,2061,22
yx.sogou.com,2018-11-25 17:00:00,2203,11
yx.sogou.com,2018-11-25 18:00:00,2509,14
yx.sogou.com,2018-11-25 19:00:00,3216,18
yx.sogou.com,2018-11-25 22:00:00,2213,2
img03.store.sogou.com,2018-11-25 02:00:00,2,2
img03.store.sogou.com,2018-11-25 22:00:00,2,2
img03.store.sogou.com,2018-11-25 23:00:00,3,2
img03.store.sogou.com,2018-11-25 21:00:00,10,0
zhibo.sogou.com,2018-11-25 05:00:00,51,1
zhibo.sogou.com,2018-11-25 20:00:00,868,1
zhibo.sogou.com,2018-11-25 23:00:00,381,1
zhibo.sogou.com,2018-11-25 00:00:00,491,0
zhibo.sogou.com,2018-11-25 02:00:00,118,0
zhibo.sogou.com,2018-11-25 03:00:00,59,0
zhibo.sogou.com,2018-11-25 04:00:00,49,0
zhibo.sogou.com,2018-11-25 06:00:00,41,0
zhibo.sogou.com,2018-11-25 07:00:00,95,0
zhibo.sogou.com,2018-11-25 08:00:00,208,1
zhibo.sogou.com,2018-11-25 09:00:00,334,0
zhibo.sogou.com,2018-11-25 10:00:00,410,1
zhibo.sogou.com,2018-11-25 11:00:00,580,0
zhibo.sogou.com,2018-11-25 12:00:00,711,0
zhibo.sogou.com,2018-11-25 13:00:00,592,0
zhibo.sogou.com,2018-11-25 14:00:00,733,0
zhibo.sogou.com,2018-11-25 15:00:00,724,0
zhibo.sogou.com,2018-11-25 17:00:00,869,0
zhibo.sogou.com,2018-11-25 18:00:00,1037,0
zhibo.sogou.com,2018-11-25 19:00:00,1070,0
zhibo.sogou.com,2018-11-25 21:00:00,792,1
zhibo.sogou.com,2018-11-25 22:00:00,719,0
zhibo.sogou.com,2018-11-25 01:00:00,180,1
waptv.sogou.com,2018-11-25 06:00:00,19,1
waptv.sogou.com,2018-11-25 07:00:00,33,1
waptv.sogou.com,2018-11-25 15:00:00,27,1
waptv.sogou.com,2018-11-25 00:00:00,55,0
waptv.sogou.com,2018-11-25 01:00:00,38,0
waptv.sogou.com,2018-11-25 02:00:00,22,0
waptv.sogou.com,2018-11-25 03:00:00,12,0
waptv.sogou.com,2018-11-25 04:00:00,13,0
waptv.sogou.com,2018-11-25 05:00:00,7,0
waptv.sogou.com,2018-11-25 08:00:00,20,0
waptv.sogou.com,2018-11-25 09:00:00,27,0
waptv.sogou.com,2018-11-25 10:00:00,26,0
waptv.sogou.com,2018-11-25 11:00:00,27,0
waptv.sogou.com,2018-11-25 12:00:00,27,0
waptv.sogou.com,2018-11-25 13:00:00,24,0
waptv.sogou.com,2018-11-25 14:00:00,43,0
waptv.sogou.com,2018-11-25 17:00:00,28,0
waptv.sogou.com,2018-11-25 18:00:00,23,0
waptv.sogou.com,2018-11-25 19:00:00,21,0
waptv.sogou.com,2018-11-25 20:00:00,41,0
waptv.sogou.com,2018-11-25 21:00:00,28,0
waptv.sogou.com,2018-11-25 22:00:00,44,0
waptv.sogou.com,2018-11-25 23:00:00,40,0
3g.sogou.com,2018-11-25 06:00:00,1063,52
3g.sogou.com,2018-11-25 11:00:00,2899,195
3g.sogou.com,2018-11-25 12:00:00,2511,235
3g.sogou.com,2018-11-25 00:00:00,5346,328
3g.sogou.com,2018-11-25 03:00:00,2074,78
3g.sogou.com,2018-11-25 04:00:00,1070,67
3g.sogou.com,2018-11-25 07:00:00,1923,121
3g.sogou.com,2018-11-25 08:00:00,2310,158
3g.sogou.com,2018-11-25 09:00:00,2481,210
3g.sogou.com,2018-11-25 10:00:00,2796,206
3g.sogou.com,2018-11-25 14:00:00,3462,218
3g.sogou.com,2018-11-25 15:00:00,2810,197
3g.sogou.com,2018-11-25 18:00:00,1611,106
3g.sogou.com,2018-11-25 19:00:00,2010,118
3g.sogou.com,2018-11-25 20:00:00,2520,167
3g.sogou.com,2018-11-25 22:00:00,3753,284
3g.sogou.com,2018-11-25 23:00:00,4839,336
3g.sogou.com,2018-11-25 01:00:00,3544,174
3g.sogou.com,2018-11-25 02:00:00,2031,134
3g.sogou.com,2018-11-25 05:00:00,941,43
3g.sogou.com,2018-11-25 13:00:00,2939,189
3g.sogou.com,2018-11-25 17:00:00,1960,125
3g.sogou.com,2018-11-25 21:00:00,2922,168
img01.store.sogou.com,2018-11-25 09:00:00,5,1
img01.store.sogou.com,2018-11-25 18:00:00,2,2
img01.store.sogou.com,2018-11-25 19:00:00,4,3
img01.store.sogou.com,2018-11-25 23:00:00,2,0
img01.store.sogou.com,2018-11-25 01:00:00,2,0
img01.store.sogou.com,2018-11-25 02:00:00,5,0
img01.store.sogou.com,2018-11-25 03:00:00,1,0
